id;display_id;nominal_code;code;name;fully_qualified_name;description;classification;type;sub_type;level;header;sub_account;parent_account.id;parent_account.name;currency;opening_balance;current_balance;tax_type;tax_rate.id;tax_rate.name;active;status;last_reconciliation_date;created_at;updated_at
42;;;;Supplies;Supplies;Costs for supplies you buy to complete a job or provide a service (not to make products you sell).;expense;expense;SuppliesMaterials;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
19;;;;Supplies and materials - COS;Supplies and materials - COS;Costs for supplies you use to make the products you sell. For example, disposable gloves.;expense;costs_of_sales;SuppliesMaterialsCogs;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
43;;;;Taxes and Licenses;Taxes and Licenses;Amounts you pay for licenses, permits, property tax, and business tax (not sales or income tax).;expense;expense;TaxesPaid;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
44;;;;Tools;Tools;Costs for small tools you use to make the products you sell.;expense;expense;SuppliesMaterials;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
45;;;;Travel;Travel;Business travel costs including transportation, hotels, and tips, but not meals.;expense;expense;Travel;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
46;;;;Travel meals;Travel meals;Costs for your meals when you're traveling for business reasons.;expense;expense;TravelMeals;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
1;;;;Uncategorized Asset;Uncategorized Asset;;asset;current_asset;OtherCurrentAssets;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:56-07:00;2026-09-08T11:25:56-07:00
2;;;;Uncategorized Expense;Uncategorized Expense;;expense;expense;OtherMiscellaneousServiceCost;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:56-07:00;2026-09-08T11:25:56-07:00
5;;;;Uncategorized Income;Uncategorized Income;;revenue;revenue;ServiceFeeIncome;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:56-07:00;2026-09-08T11:25:56-07:00
13;;;;Uncategorized Income-1;Uncategorized Income-1;Money you make and aren't sure how to categorize. Work with your accountant to sort it out.;revenue;revenue;SalesOfProductIncome;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
7;;;;Undeposited Funds;Undeposited Funds;Money you've recieved but haven't taken to the bank yet--like a cheque you haven't cashed.;asset;current_asset;UndepositedFunds;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
47;;;;Utilities;Utilities;Utility costs for your business, like phone, gas, electricity, water, and internet.;expense;expense;Utilities;;;false;;;CAD;;0;;;;true;active;;2026-09-08T11:25:57-07:00;2026-09-08T11:25:57-07:00
